Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Property Type,Residential Type,Sales Ratio
220426,2022,2023-03-20,Meriden,83 COLONY BROOK PARK,33530,67000,Residential,Single Family,0.5004477611940299
220971,2022,2023-09-25,Hartford,178 PARK ST UNIT D,20176,35000,Residential,Condo,0.5764571428571429
221838,2022,2023-05-31,Manchester,28 PROSPECT STREET UNIT 11,45900,87000,Residential,Condo,0.5275862068965518
220577,2022,2023-01-26,Bridgeport,251 JANE ST #257,142820,340000,Residential,Single Family,0.42005882352941176
220116,2022,2023-03-23,East Hampton,16 CORNWELL TERRACE,162270,357000,Residential,Single Family,0.4545378151260504
220232,2022,2023-08-18,Colchester,31 COLCHESTER COMMONS,75000,155000,Residential,Single Family,0.4838709677419355
220346,2022,2023-04-18,Enfield,16 BRAINARD RD,147000,230000,Residential,Single Family,0.6391304347826087
220875,2022,2023-07-19,Milford,300 MEADOWSIDE RD #202,82610,100000,Residential,Condo,0.8261
22151,2022,2023-03-14,North Haven,8 STATE ST,174620,275000,Residential,Single Family,0.6349818181818182
22035,2022,2023-04-18,Bolton,280 BOLTON CENTER RD,158700,285000,Residential,Single Family,0.5568421052631579
220069,2022,2023-04-13,Hebron,17 BASS LAKE RD,216090,490000,Residential,Single Family,0.441
2200504,2022,2023-07-25,East Hartford,63 GRANDE RD,146090,300000,Residential,Single Family,0.48696666666666666
220113,2022,2022-11-22,Fairfield,21 CHANDLERS LANE SOUTH,522550,890000,Residential,Single Family,0.5871348314606741
220229,2022,2023-06-26,Ledyard,135 WHALEHEAD RD,172060,300000,Residential,Single Family,0.5735333333333333
22097,2022,2023-03-13,Derby,130 HIGH ST,67060,17501,Residential,Single Family,3.831781041083367
22061,2022,2022-12-19,Monroe,43 CHALK HILL RD,195900,370000,Residential,Single Family,0.5294594594594595
220887,2022,2023-08-24,Hartford,59 EAST ST,53839,360000,Residential,Three Family,0.14955277777777778
220199,2022,2023-05-23,New Canaan,35 BANK ST-UNIT 10,599830,1050000,Residential,Condo,0.5712666666666667
220154,2022,2023-03-20,East Lyme,65 SEA CREST AVE,191240,440000,Residential,Single Family,0.43463636363636365
220600,2022,2023-05-24,Meriden,37 LANOUETTE ST,134540,39000,Residential,Single Family,3.4497435897435897
220017,2022,2022-11-21,Middlefield,80 MAIN ST,189400,305000,Residential,Single Family,0.620983606557377
220099,2022,2023-03-15,Clinton,137 EAST MAIN ST,196200,340000,Residential,Four Family,0.5770588235294117
220226,2022,2022-12-27,Hamden,35 BENHAM ST,122360,212000,Residential,Single Family,0.5771698113207547
220173,2022,2023-04-25,Madison,209 RIVER RD,227100,475000,Residential,Single Family,0.47810526315789476
220598,2022,2023-08-18,Enfield,329 ABBE RD,174200,285000,Residential,Single Family,0.6112280701754386
220203,2022,2022-12-20,Meriden,157 WILLIAMS ST,147070,225000,Residential,Single Family,0.6536444444444445
220259,2022,2023-09-15,East Hampton,211 MIDDLE HADDAM RD,421650,1500000,Residential,Single Family,0.2811
22333,2022,2023-09-21,Montville,24 TORY DR,221620,410000,Residential,Single Family,0.5405365853658537
221774,2022,2023-04-28,Manchester,102 WETHERELL STREET UNIT 12,129200,221500,Residential,Condo,0.5832957110609481
221914,2022,2023-05-22,Bridgeport,216 MACON DR,160960,420000,Residential,Single Family,0.3832380952380952
220240,2022,2022-12-22,Hartford,65 LINNMOORE ST,87392,290000,Residential,Two Family,0.30135172413793104
221410,2022,2022-10-28,Manchester,20 CARRIAGE DRIVE,209600,320000,Residential,Single Family,0.655
220015,2022,2022-10-17,Brooklyn,80 VENTURA DR,100100,261500,Residential,Single Family,0.38279158699808796
22279,2022,2023-08-24,Darien,354 HOYT STREET,439390,1185000,Residential,Single Family,0.3707932489451477
220021,2022,2022-10-20,Coventry,426 LEWIS HILL RD,157000,289000,Residential,Single Family,0.5432525951557093
220776,2022,2023-07-13,Hamden,65 WASHINGTON RD,128730,300000,Residential,Single Family,0.4291
220796,2022,2023-07-20,Hamden,17 ROCKWOOD RD,118580,153990,Residential,Single Family,0.770050003246964
2200016,2022,2022-10-18,New Milford,52 OLD FARMS CONDO,115850,230000,Residential,Condo,0.503695652173913
220833,2022,2023-07-27,Hamden,11 JEAN ST,91840,200000,Residential,Single Family,0.4592
220274,2022,2023-04-13,Groton,19 BANK ST,323750,835000,Residential,Single Family,0.38772455089820357
2200150,2022,2022-12-29,Naugatuck,35 FAIRCHILD ST,113820,85000,Residential,Single Family,1.3390588235294119
220117,2022,2023-01-27,Avon,265 BURNHAM ROAD,241590,545000,Residential,Single Family,0.44328440366972477
220071,2022,2023-01-23,Clinton,30 MALLARD LN,219224,570000,Residential,Single Family,0.38460350877192984
220413,2022,2023-05-23,Enfield,13 CEDAR ST,117100,190000,Residential,Single Family,0.6163157894736843
221069,2022,2023-05-23,Fairfield,405 HULLS HIGHWAY,573160,976500,Residential,Single Family,0.5869534050179211
222048,2022,2023-06-16,Bridgeport,68 HEWITT ST,113890,300000,Residential,Single Family,0.3796333333333333
220053,2022,2022-11-30,Bloomfield,23 PARK AVE,90490,205000,Residential,Single Family,0.44141463414634147
22000218,2022,2023-04-20,Cheshire,115 BELLAMY RD,241860,550000,Residential,Single Family,0.43974545454545455
2222169,2022,2023-06-30,Ansonia,174 N STATE ST,242410,468000,Residential,Two Family,0.5179700854700855
22029,2022,2023-03-28,Eastford,86 COUNTY RD,49830,50500,Residential,Single Family,0.9867326732673267
220475,2022,2023-04-21,New Haven,902 TOWNSEND AV,140840,252000,Residential,Single Family,0.5588888888888889
